CUSTNAME,CITY,CREDITCARD_TYPE,CUST_ID,ORDER_ID,ORDER_SALESMAN,T_TYPE,PURCHASE_TOUCHPOINT,PURCHASE_STATUS,ORDER_TYPE,GENERATION,Dinosaur Planet,Isle of Man TT 2004 Review,Character,Paula Abduls Get Up & Dance,The Rise and Fall of ECW,Sick,8 Man,What the Do We Know!?,The Rings,Class of Nuke Em High 2,,Fighter,Full Frame Documentary Shorts,My Favorite Brunette,Lord of the Rings The Return of the King Extended Edition Bonus Material,Nature Antarctica,Neil Diamond Greatest Hits Live,Screamers,7 Seconds,Immortal Beloved,By Dawns Early Light,Seeta Aur Geeta,Strange Relations,Chump Change,Clifford Clifford Saves the Day! / Cliffords Fluffiest Friend Cleo,My Bloody Valentine,Inspector Morse 31 Death Is Now My Neighbour,Never Die Alone,Sesame Street Elmos World The Street We Live On
Allen Perl          ,Abeto,Master Card,10003,1106,NC298 ,Complete,Phone,Frequent,MediumValue,Gen_Y,,,,,,3,,,,,,,,,,,,,,,,,,,,,,5,
Allen Perl          ,Abeto,Master Card,10003,2948,SW277 ,Abandoned,Phone,Frequent,MediumValue,Gen_Y,5,,,,4,5,,,,,,,,5,,,,,,,,,,,,,,5,
Allen Perl          ,Abeto,Master Card,10003,3323,NC160 ,Complete,Desktop,Frequent,LowValue,Gen_Y,,,,,,3,,,,,,,,,,,,,,,1,,,,,,,,
Allen Perl          ,Abeto,Master Card,10003,7498,SW409 ,Complete,Phone,Frequent,LowValue,Gen_Y,,,,,,,,,,,,,,4,,,,,,,,,,,,4,,3,
Allen Perl          ,Abeto,Master Card,10003,7973,WE352 ,Complete,Phone,Frequent,LowValue,Gen_Y,,,,,5,,,,,,5,4,,,,,,5,,5,5,,,,,,,,
Allen Perl          ,Abeto,Master Card,10003,9107,NW379 ,Complete,Phone,Frequent,LowValue,Gen_Y,,,,,,3,,,,,,,,,,3,2,3,,,,,,,,,,,
Anthony Whitney     ,Achstetten,VISA,10007,7441,SC130 ,Complete,Desktop,FirstTime,HighValue,Gen_Z,,,,,,,,,,,,,,,,,,,,4,,,,,,,,5,
Thomas Owens        ,Adami,VISA,10015,627,NC163 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,5,,,,,,,,,,,4,,,4,,,,,,,,4,
Thomas Owens        ,Adami,VISA,10015,1209,SW340 ,Cancelled,Phone,Occasional,LowValue,Baby_Boomers,,,,,4,5,,,,,,,4,,,,,,,,1,,,,,,,,
Thomas Owens        ,Adami,VISA,10015,1556,NW310 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,3,5,,,,,,,,,,,3,,,4,,,,,,,,,
Thomas Owens        ,Adami,VISA,10015,8633,NC100 ,Cancelled,Phone,Occasional,LowValue,Baby_Boomers,,,,,,4,,,,,,,,,,,,,,,1,,,,,,,,
Anthony Carr        ,Agallas,Discover,10019,792,SC259 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,
Anthony Carr        ,Agallas,Discover,10019,1257,SC193 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,
Anthony Carr        ,Agallas,Discover,10019,2488,SW277 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,
Anthony Carr        ,Agallas,Discover,10019,2836,NC298 ,In-Progress,Phone,Occasional,LowValue,Baby_Boomers,,,,,,5,,,,,5,,,,,4,5,,,3,,,,,,,,,3
Anthony Carr        ,Agallas,Discover,10019,5456,RP253 ,Complete,Phone,Occasional,LowValue,Baby_Boomers,,,,,5,4,,,,,,,,,3,,,,,,,,4,,,,,,
Melvin Schmitz      ,Aigues,VISA,10027,139,NW184 ,Complete,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Melvin Schmitz      ,Aigues,VISA,10027,831,SE265 ,Cancelled,Phone,Occasional,LowValue,Gen_Y,,,,,4,4,,,,,,,,,5,,,,,,,,,,,,,,
Melvin Schmitz      ,Aigues,VISA,10027,6961,NC358 ,Abandoned,Phone,Occasional,LowValue,Gen_Y,,,,,,,,,,,,,,,,,,,5,2,,,,,,,,5,
Melvin Schmitz      ,Aigues,VISA,10027,8622,SC256 ,In-Progress,Phone,Occasional,LowValue,Gen_Y,,,,,,5,,,,,4,,,,,,,,,,,,,,,,,4,
John Hoffman        ,Akron,American Express,10031,1369,NW247 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
Muriel Exley        ,Alba Di Canazei,Discover,10035,5328,NE304 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,3,,,4,,,,,,,5,,,,,,,,,,5,
James Moyle         ,Albany,Master Card,10039,421,NE367 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,1,,,,,,,,,,,,,3,,,,,,,,,,,,,,2,
James Moyle         ,Albany,Master Card,10039,5317,NW115 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,,,,,,,,,,,,3,,,,,,,,,,,5,5
James Moyle         ,Albany,Master Card,10039,5855,NW112 ,Complete,Desktop,Frequent,HighValue,Baby_Boomers,,,,,,3,,,,,,,,,,,,,,,,,3,,,,,,
Calvin Shupe        ,Albosaggia,VISA,10047,529,SC388 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,4,,,2,,,,,5,
Alfonso Frazier     ,Albuquerque,American Express,10051,1352,SE271 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,5,,,,,,,,,,,,,,,,,,,,,,5,
Alfonso Frazier     ,Albuquerque,American Express,10051,3079,NW250 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,4,,,,,,,,,,4,,,,,,,,,,4,,,
Alfonso Frazier     ,Albuquerque,American Express,10051,5296,NE178 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,3,3,,,,,,,,,,,,,,4,,,3,,,,,4,1
Alfonso Frazier     ,Albuquerque,American Express,10051,5312,NC424 ,Complete,Phone,Occasional,LowValue,Gen_X,,,,,,2,,,,,,,,,,,,,,,,,,,,,,5,1
Alfonso Frazier     ,Albuquerque,American Express,10051,6481,RP190 ,Cancelled,Phone,Occasional,LowValue,Gen_X,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
